SubID GraphID StartID EndID Path PathLength pCrossNo pAngMean pMinAng pContinu pGeode pGeode1 Response Time Effort YN
02 27 24 0 24-18-14-32-5-0 5 2 54.338 49.708 205.915 102.519 139.47343948239467 5 12568 6 1
02 37 24 2 24-27-31-9-40-2 5 8 65.464 48.678 207.333 182.0 274.7124140407899 5 11480 4 1
02 34 1 13 1-9-10-13 3 4 63.266 20.907 103.476 68.607 148.66816947819495 3 15522 5 1
02 94 34 0 34-17-13-2-3-0 5 2 84.452 82.511 238.04 136.366 206.2822164932121 5 11398 6 1
02 62 33 1 33-41-15-37-1 4 7 53.01 18.546 156.262 80.72 136.57972629166306 4 6910 4 1
02 93 24 1 24-4-0-5-1 4 3 81.381 73.955 192.903 98.197 174.4993038512779 5 7972 4 0
02 50 7 0 7-2-5-0 3 0 90.0 90.0 96.74 86.041 214.14707459765688 3 2552 2 1
02 0 14 0 14-2-7-0 3 0 90.0 90.0 26.565 24.473 70.92589686063293 3 3218 2 1
02 45 26 0 26-36-35-0 3 8 49.948 26.948 101.286 75.935 146.36102178228657 2 1676 2 0
02 90 26 9 26-21-36-14-16-9 5 7 69.05 44.118 132.304 159.241 435.5865717062469 5 4697 2 1
02 79 34 1 34-25-26-27-18-9-1 6 7 57.084 18.902 175.406 216.246 541.6585986654202 4 11824 4 0
02 68 2 7 2-3-5-7 3 2 82.192 79.068 50.072 36.17 100.53849540447047 3 1879 1 1
02 15 9 0 9-29-38-0 3 0 90.0 90.0 90.0 85.24 262.8204099784387 3 3349 3 1
02 40 38 6 38-31-23-24-9-6 5 11 55.428 11.916 188.205 206.135 666.3992175781624 6 26686 5 0
02 77 9 0 9-20-4-19-11-0 5 3 70.001 40.607 203.293 156.99 348.94251865220855 5 5154 5 1
02 33 1 0 1-25-44-38-0 4 5 68.26 60.377 107.293 143.99 356.92985476846223 4 19298 7 1
02 74 18 0 18-9-1-0 3 1 60.953 60.953 125.067 98.832 215.8244718761341 3 6412 4 1
02 3 16 1 16-4-8-2-18-1 5 0 90.0 90.0 135.0 108.34 572.7380129581345 6 11543 4 0
02 82 15 1 15-22-2-1 3 3 81.368 74.055 66.877 28.082 54.53121519766021 3 2912 2 1
02 9 39 3 39-2-1-8-3 4 0 90.0 90.0 159.775 118.33 157.9595254339128 5 11138 6 0
02 85 3 0 3-16-21-4-0 4 2 68.417 47.496 163.092 114.589 256.83348942512964 4 10426 4 1
02 99 38 0 38-35-10-2-12-0 5 3 75.754 66.874 93.731 68.912 192.98094040818597 5 8747 4 1
02 28 12 1 12-0-4-15-1 4 0 90.0 90.0 182.914 147.075 214.03353959967586 4 2750 2 1
02 67 42 2 42-5-18-2 3 6 58.666 33.94 10.042 11.1 84.36368171674071 3 6136 4 1
02 69 17 0 17-42-23-7-27-0 5 6 65.696 38.839 145.286 113.116 236.4856513894016 4 9742 5 0
02 47 37 1 37-4-18-22-38-7-1 6 5 58.49 12.891 207.743 146.799 312.1735832907106 6 19129 6 1
02 73 10 0 10-36-4-38-3-0 5 4 55.618 40.05 117.1 128.233 395.57609610910623 5 13915 3 1
02 21 39 0 39-35-16-11-12-0 5 13 68.392 41.712 165.747 189.363 376.4797512416276 5 22605 7 1
02 76 4 1 4-0-31-1 3 0 90.0 90.0 128.249 117.419 163.5304880969569 3 2079 3 1
03 5 5 1 5-2-10-1 3 0 90.0 90.0 45.0 25.48 37.398091982755346 3 4210 4 1
03 50 9 0 9-7-2-5-0 4 0 90.0 90.0 128.778 119.428 346.92714755217713 4 2145 2 1
03 26 39 2 39-35-36-37-10-5-2 6 8 53.127 31.038 220.924 208.291 430.09604458835594 5 3920 4 0
03 94 9 0 9-30-8-2-3-0 5 3 80.213 67.548 168.106 132.908 306.40538805512006 5 4612 3 1
03 31 27 0 27-15-7-3-34-0 5 19 62.367 27.212 86.266 235.233 421.31243894862087 6 31839 9 0
03 41 9 3 9-5-4-3 3 3 69.903 64.697 115.303 125.67 193.60712291902192 6 7308 6 0
03 88 21 0 21-11-32-4-37-0 5 4 82.625 78.373 156.72 129.591 235.68867536260422 5 5794 6 1
03 83 8 1 8-2-18-1 3 0 90.0 90.0 104.093 66.344 93.36294692670714 4 6375 3 0
03 61 26 5 26-11-10-6-5 4 5 53.548 19.27 115.324 113.42 295.0523204274528 4 3804 3 1
03 42 25 0 25-10-28-34-0 4 5 69.664 58.158 34.39 19.958 46.4724589181631 4 2773 2 1
03 3 8 1 8-2-18-1 3 0 90.0 90.0 90.0 58.872 247.27272727272722 4 6573 3 0
03 89 7 3 7-21-38-14-5-11-3 6 3 64.787 59.2 115.903 143.363 368.158951150752 6 6975 5 1
03 82 22 4 22-2-3-10-8-4 5 3 77.928 74.055 206.044 214.29 826.2832269768007 5 5051 4 1
03 92 17 3 17-1-0-3 3 2 65.835 53.848 83.613 34.401 70.49597382992306 3 3835 3 1
03 32 5 1 5-30-19-2-29-1 5 2 80.021 70.51 124.579 146.351 359.03623061952493 5 4127 3 1
